from_venue	to_venue	to_display_name	mentions	same_discipline	to_coverage	to_tier	to_region
astrophysical-journal-letters	nature-astronomy	Nature Astronomy	2	yes	breadth	field	international
atc	osdi	OSDI	25	yes	depth	field	international
atc	nsdi	NSDI	21	yes	depth	field	international
atc	sosp	SOSP	17	yes	depth	field	international
atc	eurosys	EuroSys	16	yes	depth	field	international
atc	fast	FAST	13	yes	depth	field	international
atc	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	2	no	breadth	field	international
atc	usenix-annual-technical-conference	USENIX Annual Technical Conference	2	no	breadth	field	international
auditing-and-economics-research	auditing-research	审计研究	2	yes	breadth	field	china
auditing-research	auditing-and-economics-research	审计与经济研究	2	yes	breadth	field	china
automatica	ieee-transactions-on-automatic-control	IEEE Transactions on Automatic Control	2	yes	breadth	field	international
british-journal-of-political-science	american-political-science-review	American Political Science Review	3	yes	depth	top-3 polisci	international
british-journal-of-political-science	comparative-political-studies	Comparative Political Studies	3	yes	depth	field	international
british-journal-of-political-science	american-journal-of-political-science	American Journal of Political Science	2	yes	depth	top-3 polisci	international
british-journal-of-political-science	world-politics	World Politics	2	yes	depth	field	international
british-machine-vision-conference	asian-conference-on-computer-vision	Asian Conference on Computer Vision	3	yes	breadth	field	international
british-machine-vision-conference	wacv	WACV	3	no	depth	field	international
british-machine-vision-conference	cvpr	CVPR	2	no	depth	field	international
british-machine-vision-conference	eccv	ECCV	2	no	depth	field	international
british-machine-vision-conference	iccv	ICCV	2	no	depth	field	international
british-machine-vision-conference	ieee-international-symposium-on-biomedical-imaging	IEEE International Symposium on Biomedical Imaging	2	yes	breadth	field	international
bulletin-of-chinese-academy-of-sciences	management-science-cn	管理科学	2	no	breadth	field	china
bulletin-of-chinese-academy-of-sciences	science-research-management	科研管理	2	yes	breadth	field	china
bulletin-of-chinese-academy-of-sciences	soft-science	软科学	2	yes	breadth	field	china
bulletin-of-chinese-academy-of-sciences	studies-in-science-of-science	科学学研究	2	yes	breadth	field	china
business-management-journal	research-on-economics-and-management	经济与管理研究	3	yes	breadth	field	china
business-management-journal	management-science-cn	管理科学	2	no	breadth	field	china
cancer-cell	jama	JAMA	4	no	depth	field	international
cancer-discovery	cancer-cell	Cancer Cell	3	yes	depth	field	international
cav	tacas	TACAS	25	yes	depth	field	international
cav	journal-of-accounting-research	Journal of Accounting Research	5	no	depth	top-3 accounting	international
cav	pldi	PLDI	5	yes	depth	field	international
cav	popl	POPL	5	yes	depth	field	international
cav	oopsla	OOPSLA	3	yes	depth	field	international
cell	molecular-cell	Molecular Cell	13	yes	depth	field	international
cell	cell-reports-medicine	Cell Reports Medicine	7	yes	breadth	field	international
cell	developmental-cell	Developmental Cell	2	yes	breadth	field	international
cell	nejm	NEJM	2	no	depth	field	international
cell	pnas	PNAS	2	no	depth	field	international
chemical-engineering-journal	aiche-journal	AIChE Journal	2	yes	breadth	field	international
chemical-society-reviews	chemical-reviews	Chemical Reviews	2	yes	breadth	field	international
chi	cscw	CSCW	8	yes	depth	field	international
chi	uist	UIST	7	yes	depth	field	international
chi	acm-conference-on-designing-interactive-systems	ACM Conference on Designing Interactive Systems	6	no	breadth	field	international
chi	acm-conference-on-intelligent-user-interfaces	ACM Conference on Intelligent User Interfaces	6	no	breadth	field	international
china-economic-quarterly	journal-of-economic-literature	Journal of Economic Literature	24	yes	depth	field	international
china-economic-studies	economic-problems	经济问题	9	yes	breadth	field	china
china-public-administration-review	management-review	管理评论	10	no	breadth	field	china
china-public-administration-review	public-administration-review	Public Administration Review	2	yes	depth	field	international
china-rural-economy	rural-economy	农村经济	68	yes	breadth	field	china
china-rural-economy	china-rural-survey	中国农村观察	14	yes	breadth	field	china
china-rural-economy	economic-problems	经济问题	6	no	breadth	field	china
china-rural-economy	issues-in-agricultural-economy	农业经济问题	6	no	breadth	field	china
china-rural-survey	rural-economy	农村经济	6	yes	breadth	field	china
china-rural-survey	journal-of-agrotechnical-economics	农业技术经济	2	no	breadth	field	china
china-soft-science	soft-science	软科学	15	yes	breadth	field	china
china-soft-science	management-science-cn	管理科学	3	no	breadth	field	china
china-soft-science	studies-in-science-of-science	科学学研究	2	yes	breadth	field	china
chinese-journal-of-management	management-science-cn	管理科学	9	no	breadth	field	china
chinese-journal-of-management	journal-of-management	Journal of Management	2	no	depth	field	international
chinese-journal-of-management	management-review	管理评论	2	no	breadth	field	china
chinese-journal-of-management-science	management-science-cn	管理科学	37	no	breadth	field	china
chinese-journal-of-management-science	management-science	Management Science	17	no	depth	FT50 / UTD24	international
chinese-journal-of-management-science	journal-of-management	Journal of Management	15	no	depth	field	international
chinese-journal-of-management-science	systems-engineering-theory-and-practice	系统工程理论与实践	5	no	breadth	field	china
chinese-journal-of-management-science	soft-science	软科学	2	no	breadth	field	china
chinese-public-administration	chinese-journal-of-management	管理学报	3	no	breadth	field	china
chinese-public-administration	journal-of-public-management	公共管理学报	3	no	breadth	field	china
chinese-review-of-financial-studies	journal-of-economic-literature	Journal of Economic Literature	5	no	depth	field	international
chinese-review-of-financial-studies	review-of-financial-studies	Review of Financial Studies	2	yes	depth	top-3 finance	international
cikm	sigir	SIGIR	16	yes	depth	field	international
cikm	kdd	KDD	13	yes	depth	field	international
cikm	wsdm	WSDM	7	yes	depth	field	international
cikm	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	5	no	breadth	field	international
cikm	sigmod	SIGMOD	4	yes	depth	field	international
cikm	international-semantic-web-conference	International Semantic Web Conference	3	yes	breadth	field	international
cikm	vldb	VLDB	3	yes	depth	field	international
cikm	icdm	ICDM	2	yes	depth	field	international
circulation	journal-of-the-american-college-of-cardiology	Journal of the American College of Cardiology	4	yes	breadth	field	international
circulation	european-heart-journal	European Heart Journal	2	yes	breadth	field	international
classical-and-quantum-gravity	physical-review-d	Physical Review D	3	no	breadth	field	international
cognitive-psychology	psychological-science	Psychological Science	3	yes	depth	field	international
